"name","descriptionEs","descriptionEn","cityName","streetAddressEs","streetAddressEn","image1","image2","price","region","telephone","url","locationNameEs","locationNameEn","lat","long"
"Bodegas Ramón Bilbao","<p>Bodega Ram&oacute;n Bilbao fue fundada en 1924 en el centro hist&oacute;rico de Haro. Actualmente, y desde la d&eacute;cada de los a&ntilde;os 70, ocupa un edificio que ha sido sucesivamente remodelado pero que conserva muchos recuerdos de su historia.</p><p>A trav&eacute;s de un recorrido por la bodega, transitaremos entre tinos de madera, dep&oacute;sitos de hormig&oacute;n, barricas de roble y botelleros, teniendo la oportunidad de degustar vinos en rama as&iacute; como los elegantes vinos de Ram&oacute;n Bilbao. La visita incluye una innovadora experiencia de realidad virtual.</p>","The current bodega was built in 1970. It is situated on the outskirts of Haro among the estate's vineyards.","Haro","Avda. Santo Domingo, 34   26200","Avda. Santo Domingo, 34","imagenes/Documentos/imgsem/45/4553/45535590-85a5-42a8-983f-4cd34d56e939/73265c33-cdc3-b39d-6645-080189695c04.jpg?v=3259","imagenes/Documentos/imgsem/45/4553/45535590-85a5-42a8-983f-4cd34d56e939/690ba9b2-d72a-be4b-3b0d-9bf95c8561cb.jpg?v=1301","Visita Mirto: 12 €. Curso de cata Ramón Bilbao: 20 €. Visita especial viñedo Ramón Bilbao: 55 €","La Rioja Alta","+34 941 310 316","www.bodegasramonbilbao.es","Bodegas Ramón Bilbao","Bodegas Ramón Bilbao","42.569938","-2.862376"
"Bodegas y Viñedos Arranz-Argote","Calado del siglo XV. Bodega artesanal tradicional. Una&nbsp;única marca, Arar,&nbsp;y un solo vino por añada de alta calidad: vino de autor. Producción muy limitada. En el 2003 solo se sacaron 4.500 botellas.<br /><br />Bodega situada en pleno casco histórico de Navarrete. Por la misma puerta pasa el Camino de Santiago.","15th century cellar. Traditional-artisanal winery. A &nbsp;single brand, &quot;Arar&quot;,&nbsp;and a single high quality vintage wine, &quot;Signature wine&quot;. A very limited production. In 2003 we only produced 4,500 bottles.<br /><br />Winery located in the historic heart of Navarrete, St James' Way passing in front of the Winery entrance.","Navarrete","Mayor Alta, 43    26370","Mayor Alta, 43    26370","imagenes/Documentos/imgsem/82/82f2/82f22233-d26d-4322-a02b-0f3a56a0e3e5/785d01d0-afa7-e1a7-4b5f-e1abe4c125e9.jpg","imagenes/Documentos/imgsem/82/82f2/82f22233-d26d-4322-a02b-0f3a56a0e3e5/f8113693-cb86-e58b-127f-1c926a1abfac.jpg","5","Logroño y alrededores","+34 699 046 043/ 630 489 312","www.vinoarar.com",,,"42.42974","-2.562346"
"Bodegas Cicerón","<p>Familiar, sencilla y moderna. Sistema de llenado de acuerdo a la forma octogonal de la bodega.</p>","Family, simple, modern. Filling system according to the octagonal shape of the Winery.","Aldeanueva de Ebro","Camino de las Agudos s/n, 26559","Camino de las Agudos s/n    26559","imagenes/Documentos/imgsem/c4/c499/c4998c7a-9a73-45b9-a7c3-b71bd35073eb/93ec20c2-5ad2-8f14-2baa-b645763bf452.jpg","imagenes/Documentos/imgsem/c4/c499/c4998c7a-9a73-45b9-a7c3-b71bd35073eb/f539fff3-1a2b-bc8c-4c28-060f97d01790.jpg",,"La Rioja Suroriental","+34 941 163 638/ 696 955 971","www.bodegasciceron.com",,,"42.23316","-1.899991"
"Bodegas Martínez Lacuesta","<p>Negocio familiar centenario en una nueva bodega de arquitectura y tecnolog&iacute;a moderna.</p><p>&nbsp;</p><p><img alt="""" src=""https://content1.lariojaturismo.com/imagenes/Usuarios/ImagenesCKEditor/8adb2f95-edf0-42e6-9ebe-6c5d2f02789b/7c439897-74a3-4b2c-aa6e-79257be0b3c6.jpg"" /></p>","Century-old family business in a new winery featuring modern architecture and technology.","Haro","Paraje de Ubieta s/n","Paraje de Ubieta s/n","imagenes/Documentos/imgsem/80/80fa/80fa73f1-0f7e-414f-a6c7-52156ef890c3/30d6903a-1ad9-b8bc-12c9-44d76642a091.jpg","imagenes/Documentos/imgsem/80/80fa/80fa73f1-0f7e-414f-a6c7-52156ef890c3/0e7e6ab7-9331-0834-592b-80dfec79f12e.jpg?v=1053","Visita gratuita con cita previa.","La Rioja Alta","+34 941 310 050","www.martinezlacuesta.com",,,"42.558438","-2.837594"
"Bodegas y Viñedos Fernández de Manzanos","<p>Explotaci&oacute;n con 150 hect&aacute;reas de vi&ntilde;edo. Instalaciones en Aldeanueva y Azagra.</p>","150 hectares of vineyards. Winemaking facilities in  Aldeanueva and Azagra.","Aldeanueva de Ebro","Gonzalo de Berceo, 51","Gonzalo de Berceo, 51","imagenes/Documentos/imgsem/d7/d781/d781c953-0814-482a-acc4-0463062f32fb/1bd34dcd-0a59-74fd-8158-8ab3cfbcc579.jpg","imagenes/Documentos/imgsem/d7/d781/d781c953-0814-482a-acc4-0463062f32fb/df54aefb-9a18-bc14-481c-89283a02a099.jpg","3 €","La Rioja Suroriental","941 163 584","www.manzanoswines.com",,,"42.2265211","-1.8893872"
"Bodegas Olarra","<p>Bodegas Olarra se ubica en Logro&ntilde;o, en pleno coraz&oacute;n de la D.O.Ca Rioja.</p><p>Construida en 1973, es conocida popularmente como <strong>&ldquo; La Catedral del Rioja &ldquo;. </strong>Su planta en forma de &ldquo; Y &ldquo;, as&iacute; como su espectacular sala de 27.000 barricas coronada por 111 c&uacute;pulas de forma hexagonal, conforman un edificio arquitect&oacute;nico singular que garantiza la calidad del proceso y permite un &oacute;ptimo envejecimiento de los vinos.</p><p>Una estructura met&aacute;lica de formas c&uacute;bicas y acristalada con colores rojizos en diversas tonalidades evocan al vino y envuelve al visitante . Materiales como la madera, el cristal&nbsp; y los juegos de luz natural complementan al hormig&oacute;n para crear un espacio de sensaciones &uacute;nico donde se respira arte, cultura, tradici&oacute;n y vanguardia.</p><p>Bodega premiada con el prestigioso galard&oacute;n de enoturismo&nbsp; <strong>&quot;Best Of &nbsp;2011&quot;</strong> en la categor&iacute;a Arquitectura Parques y Jardines y declarada <strong>&ldquo; Mejor Bodega</strong> <strong>elaboradora de Espa&ntilde;a 2013&quot;&nbsp;</strong>( IWSC ) por el concurso internacional de vinos m&aacute;s prestigioso del mundo.</p>","<p>Bodega founded in 1973. Located on the outskirts of Logro&ntilde;o. Ultra-modern architecture with a Y-shaped arrangement. Its ageing cellar contains 25,000 Bordeaux casks.</p>","Logroño","Avda. de Mendavia, 30 (Pol. Cantabria I)  26009","Avda. de Mendavia, 30 (Pol. Cantabria I)  26006","imagenes/Documentos/imgsem/ee/eefb/eefbf0c5-3cb5-4e01-8eb6-28566098b9a3/37910a6e-9468-3d59-e621-f0b8f8156832.jpg","imagenes/Documentos/imgsem/ee/eefb/eefbf0c5-3cb5-4e01-8eb6-28566098b9a3/a7019287-b031-f5a9-0947-819055e50f82.jpg","10 € /pax (adultos) / 5 € (niños de 13 a 18 años) / menores de 12 años gratis.","Logroño y alrededores","941 235 299","www.bodegasolarra.es",,,"42.4732551","-2.4064860"
"Bodegas Pastor Díaz","Todos sus vinos provienen de vi&ntilde;edos propios. Visita de vi&ntilde;edos y degustación de vinos. Club de vinos.<br />","All their wines come from vineyards. Vineyard and wine tasting. Wine Club. <br />","Aldeanueva de Ebro","Avda. Gonzalo de Berceo, 91","Avda. Gonzalo de Berceo, 91","imagenes/Documentos/imgsem/06/06b1/06b12454-bf8c-4b0f-9d19-ad8d2b7c745b/2931f11d-0a49-4b13-a002-98d8106c2f62.jpg","imagenes/Documentos/imgsem/06/06b1/06b12454-bf8c-4b0f-9d19-ad8d2b7c745b/e3154007-8eba-d841-9382-c38c8ff3d877.jpg",,"La Rioja Suroriental","941 142 390 / 941 163 511","www.pastordiaz.com",,,"42.2265181","-1.8896074"
"Bodegas de la Real Divisa","<p>Edificio de piedra. Calados subterr&aacute;neos de piedra. Exclusiva elaboraci&oacute;n de vinos de sus propios vi&ntilde;edos.</p>","Stone building. Underground, stone cellars. Only makes wines from its own estate vineyards.","Ábalos","Barrio del Montalvo, s/n","Barrio del Montalvo, s/n","imagenes/Documentos/imgsem/1b/1bf1/1bf151f6-18bd-4158-95bf-8d6a4216b535/a9edfd0a-c6ce-387d-7128-9c96b6945e7c.jpg","imagenes/Documentos/imgsem/1b/1bf1/1bf151f6-18bd-4158-95bf-8d6a4216b535/fc24698b-0dd7-f76d-0e4e-a91a8c02c78d.jpg",,"La Rioja Alta","941 334 118 - 941 258 133","www.realdivisa.com",,,"42.5723023","-2.7101931"
"Bodegas Lagar de Zabala","<p>Bodega antigua restaurada, situada en el centro del casco antiguo, en la Plaza Mayor, bajo los arcos del ayuntamiento de San Vicente de la Sonsierra.</p>","Bodega antigua restaurada, situada en el centro del casco antiguo, en la plaza Mayor, bajo los arcos del Ayuntamiento de San Vicente de la Sonsierra.","San Vicente de La Sonsierra","Plaza Mayor, 2, 26338","Plaza Mayor, 2   26338","imagenes/Documentos/imgsem/04/0464/04647fa6-417e-4510-a11c-acf9d86919f1/48aa971d-1566-b3f8-cef5-5bf3d229efe1.jpg","imagenes/Documentos/imgsem/04/0464/04647fa6-417e-4510-a11c-acf9d86919f1/3803eccd-1df0-8618-5c9e-4815a57e7c56.jpg",,"La Rioja Alta","+34 941 334 435/ 686 230 687","www.bodegaslagardezabala.com",,,"42.56246","-2.75878"
"Arizcuren Bodegas y Viñedos","<p>El Taller de Vinos Arizcuren propone: &middot;</p><ul>	<li>Conocer los vi&ntilde;edos hist&oacute;ricos de la Rioja Oriental, con los que se producen vinos monovarietales de garnacha y mazuelo, dos variedades identitarias de la zona.</li>	<li>Disfrutar del &ldquo;encanto de lo peque&ntilde;o&rdquo;, de la cultura del detalle en el mundo del vino, de peque&ntilde;as parcelas trabajadas con el saber tradicional transmitido por los antepasados.</li>	<li>Hacerlo en el casco urbano de la capital, recuperando la tradici&oacute;n hist&oacute;rica del centro de Logro&ntilde;o como lugar de elaboraci&oacute;n de vinos, que se hab&iacute;a perdido durante d&eacute;cadas y que se remonta a la Edad Media, en un espacio reinventado, un &rdquo;Taller de Vinos&rdquo; que encuentra referencias fundamentalmente en las Urban Cellar repartidas por algunas de las m&aacute;s importantes capitales del mundo y que refuerza de manera innovadora y complementaria el resto de la oferta enotur&iacute;stica en la capital.</li>	<li>Degustar los vinos presentes en m&aacute;s de 20 restaurantes Michelin y que han recibido excepcionales puntuaciones de los principales prescriptores internacionales de vino; Sukling, Parker, Decanter..</li></ul>","<p>El Taller de Vinos Arizcuren propone:</p><p>&middot; Conocer los vi&ntilde;edos hist&oacute;ricos de la Rioja Oriental, con los que se<br />producen vinos monovarietales de garnacha y mazuelo, dos variedades<br />identitarias de la zona.</p><p>&middot; Disfrutar del &ldquo;encanto de lo peque&ntilde;o&rdquo;, de la cultura del detalle en el<br />mundo del vino, de peque&ntilde;as parcelas trabajadas con el saber tradicional<br />transmitido por los antepasados</p><p>&middot; Hacerlo en el casco urbano de la capital, recuperando la tradici&oacute;n hist&oacute;rica<br />del centro de Logro&ntilde;o como lugar de elaboraci&oacute;n de vinos, que se hab&iacute;a<br />perdido durante d&eacute;cadas y que se remonta a la Edad Media., en un espacio<br />reinventado, un &rdquo;Taller de Vinos&rdquo; que encuentra referencias</p><p>fundamentalmente en las Urban Cellar repartidas por algunas de las m&aacute;s<br />importantes capitales del mundo y que refuerza de manera innovadora y<br />complementaria el resto de la oferta enotur&iacute;stica en la capital.</p><p>&middot; Degustar los vinos presentes en m&aacute;s de 20 restaurantes Michelin y que<br />han recibido excepcionales puntuaciones de los principales prescriptores<br />internacionales de vino; Sukling, Parker, Decanter..</p>","Logroño","C/ Santa Isabel, 10 bajo   26002","C/ Santa Isabel, 10 bajo   26002","imagenes/Documentos/imgsem/0d/0df3/0df324d4-004f-419b-88af-f733f6ebada6/59dd7e41-0227-2d61-aadd-6fc60adb1161.jpg?v=8121","imagenes/Documentos/imgsem/0d/0df3/0df324d4-004f-419b-88af-f733f6ebada6/59dd7e41-0227-2d61-aadd-6fc60adb1161.jpg?v=8121","15 € la visita","Logroño y alrededores","+34 941 233 073","www.arizcurenvinos.com","Arizcuren Bodegas y Viñedos","Arizcuren Bodegas y Viñedos","42.459373","-2.447648"
